Country or Area,Year,Count,Rate,Source,Source Type
Afghanistan,2008,712,2.4,WHO,PH
Albania,2010,127,4,CTS/Transmonee,CJ
Albania,2009,85,2.7,CTS/Transmonee,CJ
Albania,2008,93,2.9,CTS/Transmonee,CJ
Albania,2007,105,3.3,CTS/Transmonee,CJ
Albania,2006,87,2.8,CTS/Transmonee,CJ
Albania,2005,131,4.2,CTS/Transmonee,CJ
Albania,2004,119,3.8,CTS/Transmonee,CJ
Albania,2003,144,4.6,CTS/Transmonee,CJ
Albania,2002,231,7.5,CTS/Transmonee,CJ
Albania,2001,208,6.8,CTS/Transmonee,CJ
Albania,2000,275,9,CTS/Transmonee,CJ
Albania,1999,496,16.1,CTS/Transmonee,CJ
Albania,1998,573,18.6,CTS/Transmonee,CJ
Albania,1997,1542,49.9,CTS/Transmonee,CJ
Albania,1996,248,8,CTS/Transmonee,CJ
Albania,1995,210,6.7,CTS/Transmonee,CJ
Algeria,2008,516,1.5,CTS,CJ
Algeria,2007,438,1.3,CTS,CJ
Andorra,2004,1,1.3,Interpol,CJ
Angola,2008,3426,19,WHO,PH
Anguilla,2008,1,6.8,NSO,CJ
Anguilla,2007,4,27.8,NSO,CJ
Anguilla,2006,4,28.6,NSO,CJ
Anguilla,2005,1,7.4,NSO,CJ
Anguilla,2004,1,7.6,NSO,CJ
Anguilla,2003,2,15.9,NSO,CJ
Anguilla,2002,2,16.7,NSO,CJ
Anguilla,2001,0,0,NSO,CJ
Anguilla,2000,1,9,NSO,CJ
Anguilla,1999,0,0,NSO,CJ
Anguilla,1998,0,0,NSO,CJ
Anguilla,1997,1,9.8,NSO,CJ
Anguilla,1996,0,0,NSO,CJ
Anguilla,1995,1,10.2,NSO,CJ
Antigua and Barbuda,2010,6,6.8,OAS/National police,CJ
Antigua and Barbuda,2009,16,18.2,OAS/National police,CJ
Antigua and Barbuda,2008,16,18.4,OAS/National police,CJ
Antigua and Barbuda,2007,17,19.8,OAS/National police,CJ
Antigua and Barbuda,2006,11,12.9,OAS/National police,CJ
Antigua and Barbuda,2005,3,3.6,OAS/National police,CJ
Antigua and Barbuda,2004,4,4.8,OAS/National police,CJ
Antigua and Barbuda,2003,5,6.1,OAS/National police,CJ
Antigua and Barbuda,2002,5,6.2,OAS/National police,CJ
Antigua and Barbuda,2001,7,8.8,OAS/National police,CJ
Antigua and Barbuda,2000,5,6.4,OAS/National police,CJ
Argentina,2009,1360,3.4,CTS/Ministry of Justice,CJ
Argentina,2008,2305,5.8,CTS/Ministry of Justice,CJ
Argentina,2007,2071,5.3,CTS/Ministry of Justice,CJ
Argentina,2006,2052,5.3,CTS/Ministry of Justice,CJ
Argentina,2005,2115,5.5,CTS/Ministry of Justice,CJ
Argentina,2004,2259,5.9,CTS/Ministry of Justice,CJ
Argentina,2003,2876,7.6,CTS/Ministry of Justice,CJ
Argentina,2002,3453,9.2,CTS/Ministry of Justice,CJ
Argentina,2001,3048,8.2,CTS/Ministry of Justice,CJ
Argentina,2000,2653,7.2,CTS/Ministry of Justice,CJ
Argentina,1999,2668,7.3,CTS/Ministry of Justice,CJ
Argentina,1998,2607,7.2,CTS/Ministry of Justice,CJ
Argentina,1997,3265,9.1,CTS/Ministry of Justice,CJ
Argentina,1996,3001,8.5,CTS/Ministry of Justice,CJ
Argentina,1995,2723,7.8,CTS/Ministry of Justice,CJ
Armenia,2010,44,1.4,CTS/Transmonee,CJ
Armenia,2009,83,2.7,CTS/Transmonee,CJ
Armenia,2008,83,2.7,CTS/Transmonee,CJ
Armenia,2007,77,2.5,CTS/Transmonee,CJ
Armenia,2006,79,2.6,CTS/Transmonee,CJ
Armenia,2005,58,1.9,CTS/Transmonee,CJ
Armenia,2004,83,2.7,CTS/Transmonee,CJ
Armenia,2003,66,2.2,CTS/Transmonee,CJ
Armenia,2002,69,2.3,CTS/Transmonee,CJ
Armenia,2001,88,2.9,CTS/Transmonee,CJ
Armenia,2000,91,3,CTS/Transmonee,CJ
Armenia,1999,90,2.9,CTS/Transmonee,CJ
Armenia,1998,93,3,CTS/Transmonee,CJ
Armenia,1997,100,3.2,CTS/Transmonee,CJ
Armenia,1996,114,3.6,CTS/Transmonee,CJ
Armenia,1995,116,3.6,CTS/Transmonee,CJ
Australia,2010,229,1,CTS/NSO,CJ
Australia,2009,263,1.2,CTS/NSO,CJ
Australia,2008,261,1.2,CTS/NSO,CJ
Australia,2007,255,1.2,CTS/NSO,CJ
