,Landcode,Date_value,Indicator_category,Indicator,measure_value,unit_of_measure,Source
0,AFG,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,ALB,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,DZA,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,AND,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,AGO,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,ATG,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,ARG,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,ARM,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,AUS,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,AUT,2018.0,Country,Civicus score,6,Number,Civicus monitor
0,AZE,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,BHS,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BHR,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,BGD,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,BRB,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,BLR,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,BEL,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,BLZ,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BEN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BTN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BOL,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BIH,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BWA,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BRA,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BRN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BGR,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BFA,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BDI,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,KHM,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,CMR,2018.0,Country,Civicus score,2,Number,Civicus monitor
