Country or Area,Year,Count,Rate,Source,Source Type
Afghanistan,2008,712,2.4,WHO,PH
Albania,2010,127,4,CTS/Transmonee,CJ
Albania,2009,85,2.7,CTS/Transmonee,CJ
Albania,2008,93,2.9,CTS/Transmonee,CJ
Albania,2007,105,3.3,CTS/Transmonee,CJ
Albania,2006,87,2.8,CTS/Transmonee,CJ
Albania,2005,131,4.2,CTS/Transmonee,CJ
Albania,2004,119,3.8,CTS/Transmonee,CJ
Albania,2003,144,4.6,CTS/Transmonee,CJ
Albania,2002,231,7.5,CTS/Transmonee,CJ
Albania,2001,208,6.8,CTS/Transmonee,CJ
Albania,2000,275,9,CTS/Transmonee,CJ
Albania,1999,496,16.1,CTS/Transmonee,CJ
Albania,1998,573,18.6,CTS/Transmonee,CJ
Albania,1997,1542,49.9,CTS/Transmonee,CJ
Albania,1996,248,8,CTS/Transmonee,CJ
Albania,1995,210,6.7,CTS/Transmonee,CJ
Algeria,2008,516,1.5,CTS,CJ
Algeria,2007,438,1.3,CTS,CJ
