Code,Name
A01,General budget support
A02,Sector budget support
B01,"Core support to NGOs, other private bodies, PPPs and research institutes"
B02,Core contributions to multilateral institutions
B03,"Contributions to  specific-purpose programmes and funds managed by international organisations (multilateral, INGO)"
B04,Basket funds/pooled funding
C01,Project-type interventions
D01,Donor country personnel
D02,Other technical assistance
E01,Scholarships/training in donor country
E02,Imputed student costs
F01,Debt relief
G01,Administrative costs not included elsewhere
H01,Development awareness
H02,Refugees in donor countries
